,expenditures,treatment,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_treatment,2016_treatment,2017_treatment,2018_treatment,2019_treatment,2020_treatment,2021_treatment,2022_treatment,2023_treatment
0,192879448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,203612714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,208441889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,209476654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,218837867,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,231383358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16292531,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,74143456,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,78335447,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,87981705,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,254739689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,272460602,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,290383383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,300988746,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,315093614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,323161409,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,303721552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,338781959,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,339004390,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,360354794,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,620598209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,622333491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,656523167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,654204327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,663311066,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,667274343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,570194843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,633150757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,659279737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,732054922,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,123379125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,136419492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,142546773,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,150039692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,160459026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,168361915,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,197756484,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,402905867,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,418147950,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,412981551,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
40,331827086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,344076075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,353326216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,357685336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,365248283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,376079973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,339263082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,372952632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,375408153,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,381435554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,54431247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,58304466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,60074600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,59989174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55429564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,48600898,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,42818001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,40465413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,43625433,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,44977228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
